2,Pull Ups,back,calisthenics,2015-09-05 06:12:07,2015-09-05 06:12:07
3,Seated Chest Press,chest,selectorized,2015-09-05 06:31:58,2015-09-05 06:31:58
4,Seated Fly,chest,selectorized,2015-09-05 06:33:05,2015-09-05 06:33:05
5,Seated Lat Pull-Down,back,selectorized,2015-09-05 06:33:41,2015-09-05 06:33:41
6,Quadriceps Extensions,legs,selectorized,2015-09-05 06:34:29,2015-09-05 06:34:29
7,Hamstring Curls,legs,selectorized,2015-09-05 06:34:48,2015-09-05 06:34:48
8,Leg Press Calf Extensions,lower_legs,selectorized,2015-09-05 06:35:16,2015-09-05 06:35:16
9,Seated Preacher Curls,biceps,selectorized,2015-09-05 06:35:52,2015-09-05 06:35:52
10,Seated Hammer Curls,biceps,selectorized,2015-09-05 06:36:09,2015-09-05 06:36:09
11,Seated Triceps Extension,triceps,selectorized,2015-09-05 06:36:43,2015-09-05 06:36:43
12,Dumbbell Chest Press,chest,dumbbell,2015-09-05 06:38:52,2015-09-05 06:38:52
13,Dumbbell Flies,chest,dumbbell,2015-09-05 06:39:38,2015-09-05 06:39:38
14,Inclined Dumbbell Chest Press,chest,dumbbell,2015-09-05 06:40:27,2015-09-05 06:40:27
15,Declined Dumbbell Chest Press,chest,dumbbell,2015-09-05 06:40:59,2015-09-05 06:40:59
16,Barbell Chest Press,chest,barbell,2015-09-05 06:42:17,2015-09-05 06:42:17
1,Inclined Barbell Chest Press,chest,barbell,2015-09-05 05:05:49,2015-09-05 06:45:55
17,Declined Barbell Chest Press,chest,barbell,2015-09-05 06:47:29,2015-09-05 06:47:29
18,Cable Crossovers,chest,cable,2015-09-05 06:48:08,2015-09-05 06:48:08
19,Push Ups,chest,calisthenics,2015-09-05 06:48:48,2015-09-05 06:48:48
20,Inclined Push Ups,chest,calisthenics,2015-09-05 06:49:07,2015-09-05 06:49:07
21,Stability Ball Push Ups,chest,calisthenics,2015-09-05 06:49:21,2015-09-05 06:49:21
22,Medicine Ball Push Ups,chest,calisthenics,2015-09-05 06:49:38,2015-09-05 06:49:38
23,Dumbbell Bent-Over Row,back,dumbbell,2015-09-05 06:50:43,2015-09-05 06:50:43
24,Barbell Bent-Over Row,back,barbell,2015-09-05 06:52:12,2015-09-05 06:52:12
25,Seated Cable Row,back,cable,2015-09-05 06:52:12,2015-09-05 06:52:12
26,Seated Cable Lat-Pulldown,back,cable,2015-09-05 06:52:12,2015-09-05 06:52:12
27,Roman Chair Extensions,back,calisthenics,2015-09-05 07:02:29,2015-09-05 07:02:29
28,Dumbbell Squats,legs,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
29,Single Leg Dumbbell Squats,legs,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
30,Dumbbell Deadlifts,legs,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
31,Single Leg Dumbbell Deadlifts,legs,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
32,Barbell Deadlifts,legs,barbell,2015-09-05 07:02:29,2015-09-05 07:02:29
33,Barbell Squats,legs,barbell,2015-09-05 07:02:29,2015-09-05 07:02:29
34,Squats,legs,calisthenics,2015-09-05 07:02:29,2015-09-05 07:02:29
35,Dumbbell Calf Raises,lower_legs,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
36,Smith Press Calf Raises,lower_legs,barbell,2015-09-05 07:02:29,2015-09-05 07:02:29
37,Dumbbell Preacher Curls,biceps,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
38,Dumbbell Hammer Curls,biceps,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
39,Barbell Preacher Curls,biceps,barbell,2015-09-05 07:02:29,2015-09-05 07:02:29
40,Cable Hammer Curls,biceps,cable,2015-09-05 07:02:29,2015-09-05 07:02:29
41,Cable Preacher Curls,biceps,cable,2015-09-05 07:02:29,2015-09-05 07:02:29
42,Overhead Dumbbell Triceps Extensions,triceps,dumbbell,2015-09-05 07:02:29,2015-09-05 07:02:29
43,Narrow-Grip Dumbbell Bench Press,triceps,dumbbell,2015-09-05 07:03:24,2015-09-05 07:03:24
44,Narrow-Grip Barbell Bench Press,triceps,barbell,2015-09-05 07:11:41,2015-09-05 07:11:41
46,Cable Triceps Pull-Down,triceps,cable,2015-09-05 07:11:41,2015-09-05 07:11:41
47,Dips,triceps,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
48,Dumbbell Lateral Raises,shoulders,dumbbell,2015-09-05 07:11:41,2015-09-05 07:11:41
49,Dumbbell Shoulder Press,shoulders,dumbbell,2015-09-05 07:11:41,2015-09-05 07:11:41
50,Barbell Shoulder PressCable Reverse Crossover,shoulders,barbell,2015-09-05 07:11:41,2015-09-05 07:11:41
51,Cable Reverse Crossover,shoulders,cable,2015-09-05 07:11:41,2015-09-05 07:11:41
52,Weighted String Flexion,forearms,free_weights,2015-09-05 07:11:41,2015-09-05 07:11:41
53,Weighted String Extension,forearms,free_weights,2015-09-05 07:11:41,2015-09-05 07:11:41
54,Crunches,abs,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
55,Dead Bugs,abs,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
56,Hanging Leg Lifts,abs,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
57,Windshield Wipers,abs,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
58,Planks,abs,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
59,Flutter Kicks,abs,calisthenics,2015-09-05 07:11:41,2015-09-05 07:11:41
60,Barbell Wrist Flexion,forearms,barbell,2015-09-05 07:11:41,2015-09-05 07:11:41
61,Barbell Wrist Extension,forearms,barbell,2015-09-05 07:11:41,2015-09-05 07:11:41
45,Overhead Cable Triceps Extensions,triceps,cable,2015-09-05 07:11:41,2015-09-05 07:15:30
